Daily index,Segment,Timestamp,Duration
1,INTRO,00:02:02,00:12:28
,INBOX,00:14:30,00:13:30
,FIRES,00:28:00,00:04:40
,PRIORITY LANE,00:32:40,00:01:20
,OUTBOX,00:34:00,00:00:20
,QUESTIONS,00:34:20,00:01:43
,DONE,00:36:03,00:00:33
,RECORDING ENDS,00:36:36,
,,,
2,INTRO,00:01:11,00:08:59
,NON-CORE MODULE CONTINUUM,00:10:10,00:02:30
,CYCLES,00:12:40,00:03:00
,INBOX,00:15:40,00:13:20
,FIRES,00:29:00,00:13:55
,PRIORITY LANE,00:42:55,00:02:30
,OUTBOX,00:45:25,00:01:25
,QUESTIONS,00:46:50,00:01:40
,DONE,00:48:30,00:00:23
,RECORDING ENDS,00:48:53,
,,,
3,INTRO,00:00:40,00:10:45
,INBOX,00:11:25,00:01:45
,FIRES,00:13:10,00:04:05
,PRIORITY LANE,00:17:15,00:03:30
,OUTBOX,00:20:45,00:03:20
,QUESTIONS,00:24:05,00:00:41
,NON-FUNCTIONAL CONTINUUM,00:24:46,00:01:19
,BOARD OVERVIEW,00:26:05,00:02:13
,DONE,00:28:18,00:00:12
,RECORDING ENDS,00:28:30,
,,,
4,INTRO,00:00:00,00:04:40
,INBOX,00:04:40,00:12:10
,FIRES,00:16:50,00:09:40
,OUTBOX,00:26:30,00:03:20
,QUESTIONS,00:29:50,00:00:50
,NON-FUNCTIONAL CONTINUUM,00:30:40,00:01:45
,DONE,00:32:25,00:01:26
,RECORDING ENDS,00:33:51,
,,,
5,INTRO,00:00:19,00:07:56
,INBOX,00:08:15,00:07:25
,FIRES,00:15:40,00:05:50
,PRIORITY LANE,00:21:30,00:00:20
,OUTBOX,00:21:50,00:02:20
,QUESTIONS,00:24:10,00:03:43
,DONE,00:27:53,00:00:23
,RECORDING ENDS,00:28:16,
,,,
6,INBOX,00:00:07,00:07:23
,FIRES,00:07:30,00:04:50
,PRIORITY LANE,00:12:20,00:01:40
,OUTBOX,00:14:00,00:01:10
,QUESTIONS,00:15:10,00:00:20
,DONE,00:15:30,00:02:17
,RECORDING ENDS,00:17:47,
,,,
7,INTRO,00:00:13,00:03:17
,INBOX,00:03:30,00:13:00
,FIRES,00:16:30,00:05:10
,PRIORITY LANE,00:21:40,00:01:05
,OUTBOX,00:22:45,00:00:55
,QUESTIONS,00:23:40,00:01:45
,NON-FUNCTIONAL CONTINUUM,00:25:25,00:01:05
,MODULES CONTINUUM,00:26:30,00:00:25
,DONE,00:26:55,00:00:13
,RECORDING ENDS,00:27:08,
,,,
8,INTRO,00:00:20,00:06:25
,INBOX,00:06:45,00:07:00
,FIRES,00:13:45,00:02:15
,PRIORITY LANE,00:16:00,00:02:00
,QUESTIONS,00:18:00,00:00:30
,NON-FUNCTIONAL CONTINUUM,00:18:30,00:01:40
,DONE,00:20:10,00:00:16
,RECORDING ENDS,00:20:26,
,,,
9,INTRO,00:00:30,00:01:40
,INBOX,00:02:10,00:05:20
,FIRES,00:07:30,00:03:05
,OUTBOX,00:10:35,00:01:10
,QUESTIONS,00:11:45,00:02:15
,NON-FUNCTIONAL CONTINUUM,00:14:00,00:01:10
,BOARD OVERVIEW,00:15:10,00:02:40
,DONE,00:17:50,00:01:13
,RECORDING ENDS,00:19:03,
,,,
10,INTRO,00:00:25,00:05:55
,INBOX,00:06:20,00:05:39
,FIRES,00:11:59,00:10:11
,PRIORITY LANE,00:22:10,00:02:35
,OUTBOX,00:24:45,00:05:15
,QUESTIONS,00:30:00,00:00:35
,DONE,00:30:35,00:00:38
,RECORDING ENDS,00:31:13,
,,,
11,INBOX,00:00:15,00:05:30
,FIRES,00:05:45,00:02:00
,PRIORITY LANE,00:07:45,00:00:30
,OUTBOX,00:08:15,00:00:10
,QUESTIONS,00:08:25,00:02:57
,DONE,00:11:22,00:00:35
,RECORDING ENDS,00:11:57,
,,,
12,INTRO,00:00:08,00:07:52
,INBOX,00:08:00,00:03:20
,FIRES,00:11:20,00:09:36
,PRIORITY LANE,00:20:56,00:01:29
,OUTBOX,00:22:25,00:09:35
,QUESTIONS,00:32:00,00:00:22
,DONE,00:32:22,00:02:06
,RECORDING ENDS,00:34:28,
,,,
13,INTRO,00:00:58,00:00:47
,BOARD OVERVIEW,00:01:45,00:15:45
,INBOX,00:17:30,00:20:18
,FIRES,00:37:48,00:05:32
,PRIORITY LANE,00:43:20,00:00:28
,OUTBOX,00:43:48,00:00:32
