Capture date,Boards
2015-12-08,INBOX (Composer 2)
,[FIRE]: This must be emptied
,Priority lane
,OUTBOX (ska diskuteras snart)
,QUESTIONS
,CONTINUUM: Modules
,CONTINUUM: Non-functional
,(omitted)
,
2015-12-16,INBOX (Composer 2)
,[FIRE]: This must be emptied
,Priority lane
,OUTBOX (ska diskuteras snart)
,QUESTIONS
,CONTINUUM: Non-functional
,CONTINUUM: Modules
,(omitted)
,
2016-01-18,INBOX (Composer 2)
,[FIRE]: This must be emptied
,Priority lane
,OUTBOX (ska diskuteras snart)
,MONEYBOX
,QUESTIONS
,MARKETING
,CONTINUUM: Non-functional
,CONTINUUM: Modules
,(cycles omitted)
,INBOX (Kisko)
,Exception Box
,---
,#NN Descriptive Theme Name
,#NN Release Lifecycle
,---
,BACKLOG: Modules
,---
,MINOR Roadmap
,SOLUTION Roadmap
,Composer 2 bug backlog
,Toolchain bug backlog
,SORT THIS AWAY PLS
,NEXT
,SOON
,LATER
,WAT
,HARD AND SCARY
,WATBOX
,TECH WISHING WELL
,(omitted)
,
2016-01-19,(omitted)
,INBOX (Kisko)
,MONEYBOX
,MARKETING
,TECH WISHING WELL BOX
,WATBOX
,EXCEPTION BOX
,BACKLOG: Modules
,(omitted)
