Segment,Total time spent,Average time spent,Occurrences
INBOX,04:04:35,00:11:39,21
FIRES,02:18:41,00:06:36,21
INTRO,01:46:30,00:05:55,18
OUTBOX,01:21:28,00:04:04,20
NON-FUNCTIONAL CONTINUUM,00:24:44,00:01:54,13
PRIORITY LANE,00:24:17,00:01:26,17
QUESTIONS,00:22:21,00:01:15,18
BOARD OVERVIEW,00:20:38,00:06:53,3
CYCLES,00:15:02,00:07:31,2
NON-CORE MODULE CONTINUUM,00:13:25,00:01:41,8
MONEYBOX,00:00:49,00:00:25,2
MODULES CONTINUUM,00:00:25,00:00:25,1
MARKETING BOX,00:00:13,00:00:13,1
WATBOX,00:00:13,00:00:13,1
Total Result,11:33:21,00:04:45,146
